ID,Name,Age,Score,Department,Salary
2,Person_2,39,94,Physics,78094
4,Person_4,51,81,Physics,54626
5,Person_5,50,82,Mathematics,41114
8,Person_8,50,90,Physics,78261
12,Person_12,48,93,Physics,78897
13,Person_13,34,95,Mathematics,55432
14,Person_14,30,85,Science,65539
15,Person_15,42,84,Science,60579
16,Person_16,22,91,Engineering,37573
17,Person_17,31,95,Science,30042
18,Person_18,27,82,Science,37203
28,Person_28,59,96,Science,42774
30,Person_30,45,84,Engineering,75221
32,Person_32,25,98,Physics,50721
33,Person_33,52,86,Engineering,39292
37,Person_37,49,92,Engineering,38291
39,Person_39,52,99,Engineering,71093
41,Person_41,43,94,Mathematics,63164
42,Person_42,40,82,Physics,32269
44,Person_44,26,88,Mathematics,58919
47,Person_47,35,84,Science,41738
48,Person_48,53,91,Physics,49671
53,Person_53,44,100,Engineering,36411
59,Person_59,63,98,Physics,42389
63,Person_63,35,89,Mathematics,45436
70,Person_70,64,99,Physics,57374
71,Person_71,35,84,Engineering,50738
73,Person_73,52,90,Mathematics,50170
74,Person_74,56,98,Mathematics,53531
75,Person_75,21,86,Engineering,79797
76,Person_76,51,91,Mathematics,44160
78,Person_78,47,98,Mathematics,62113
79,Person_79,63,82,Physics,51795
80,Person_80,38,87,Mathematics,57297
83,Person_83,53,93,Physics,54626
84,Person_84,37,84,Mathematics,63235
85,Person_85,55,94,Science,55889
86,Person_86,46,82,Science,67863
87,Person_87,34,88,Science,51424
96,Person_96,39,86,Physics,59509
99,Person_99,63,96,Science,40354
